,date,open,high,low,close,volume,ma_10,rsi,next_day_movement,future_price
0,2024-03-07,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
1,2024-03-09,191.4,202.85,193.51,193.51,3246441,199,199,UP,196.64
2,2024-03-09,233.67,202.85,193.51,193.51,2801217,199,66,Down,196.64
3,2024-03-02,191.4,202.85,193.51,193.51,4851205,199,199,down,168.56
4,2024-03-02,191.4,202.85,193.51,193.51,5524988,199,199,down,196.64
5,2024-04-21,185.13,202.85,193.51,193.51,4851205,199,85,Up,196.64
6,2024-04-21,191.4,202.85,242.84,193.51,4851205,199,772,Up,289.56
7,2024-04-21,191.4,202.85,193.51,193.51,4851205,199,199,Down,102.51
8,2024-04-21,191.4,202.85,193.51,193.51,4851205,199,334,down,196.64
9,2024-04-21,242.21,202.85,193.51,193.51,4851205,199,199,Up,196.64
10,2024-01-18,214.83,163.31,193.51,193.51,4851205,219,199,down,196.64
11,2024-01-18,191.4,202.85,193.51,193.51,4851205,199,199,down,196.64
12,2024-01-18,191.4,202.85,193.51,107.31,4851205,199,749,down,196.64
13,2024-01-18,191.4,287.57,211.72,193.51,4851205,199,112,down,196.64
14,2024-01-18,191.4,202.85,193.51,169.68,4851205,199,199,down,196.64
15,2024-01-06,191.4,202.85,193.51,193.51,4851205,199,199,down,293.12
16,2024-01-06,191.4,202.85,193.51,193.51,4851205,199,831,down,196.64
17,2024-01-06,191.4,202.85,193.51,193.51,4851205,199,1430,Down,164.78
18,2024-01-06,191.4,202.85,193.51,193.51,5619911,199,404,Down,196.64
19,2024-01-10,191.4,202.85,193.51,193.51,4851205,199,59,Down,196.64
20,2024-03-14,191.4,202.85,193.51,193.51,4851205,199,79,Down,161.78
21,2024-03-14,191.4,202.85,193.51,193.51,4851205,199,199,Down,196.64
22,2024-03-14,191.4,202.85,193.51,153.26,4851205,199,199,UP,196.64
23,2024-03-14,191.4,202.85,193.51,193.51,4851205,124,199,UP,196.64
24,2024-03-14,191.4,202.85,193.51,193.51,4851205,199,7,down,213.14
25,2024-01-11,191.4,202.85,193.51,193.51,4851205,199,199,Down,270.43
26,2024-01-11,191.4,202.85,251.35,193.51,4851205,199,15,UP,196.64
27,2024-01-11,191.4,202.85,193.51,193.51,4851205,199,90,UP,196.64
28,2024-01-11,191.4,202.85,193.51,193.51,4851205,199,199,UP,196.64
29,2024-02-07,191.4,202.85,193.51,271.87,4851205,199,199,UP,196.64
30,2024-02-07,191.4,202.85,193.51,241.74,4851205,199,853,UP,196.64
31,2024-02-07,191.4,202.85,193.51,196.46,4851205,199,93,down,196.64
32,2024-02-07,191.4,202.85,193.51,193.51,4851205,199,46,down,195.56
33,2024-02-07,191.4,202.85,193.51,193.51,3971463,199,30,down,196.64
34,2024-02-07,191.4,202.85,193.51,193.51,6614896,286,199,UP,196.64
35,2024-03-26,191.4,202.85,193.51,193.51,4851205,199,199,UP,196.64
36,2024-03-26,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
37,2024-03-26,191.4,202.85,193.51,227.28,4851205,199,798,Down,196.64
38,2024-02-01,191.4,202.85,193.51,193.51,6637765,199,64,down,131.07
39,2024-02-01,191.4,202.85,193.51,193.51,3207025,199,199,down,121.57
40,2024-02-01,191.4,202.85,193.51,193.51,4851205,199,199,down,220.58
41,2024-02-04,191.4,202.85,193.51,193.51,4851205,199,215,down,196.64
42,2024-03-13,191.4,106.48,193.51,133.37,4851205,199,199,down,196.64
43,2024-04-10,191.4,202.85,193.51,193.51,4851205,199,1170,UP,196.64
44,2024-04-10,191.4,202.85,193.51,193.51,4851205,199,1092,UP,205.34
45,2024-04-10,191.4,202.85,193.51,193.51,1963547,183,199,Up,196.64
46,2024-04-08,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
47,2024-04-30,191.4,202.85,193.51,193.51,5670521,199,60,Up,196.64
48,2024-04-30,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
49,2024-04-30,108.28,202.85,193.51,193.51,4851205,199,55,Up,196.64
50,2024-02-23,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
51,2024-02-23,191.4,202.85,193.51,193.51,5829593,199,199,Up,196.64
52,2024-04-18,191.4,202.85,227.46,193.51,4851205,199,1310,Up,196.64
53,2024-03-10,191.4,202.85,193.51,283.7,6521008,199,199,Up,196.64
54,2024-03-10,191.4,202.85,193.51,193.51,1416091,199,70,UP,196.64
55,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,930,UP,196.64
56,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,199,Up,206.67
57,2024-03-10,191.4,202.85,193.51,295.51,4851205,199,80,Up,196.64
58,2024-03-10,191.4,202.85,193.51,193.51,8537471,199,380,UP,196.64
59,2024-03-10,191.4,202.85,193.51,191.53,4851205,199,199,Up,196.64
60,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,199,Down,196.64
61,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
62,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,1,Up,196.64
63,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
64,2024-03-10,191.4,189.47,193.51,193.51,4851205,199,199,Up,196.64
65,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,72,Down,196.64
66,2024-03-10,186.19,202.85,193.51,193.51,4851205,195,199,Down,216.55
67,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,5,Down,196.64
68,2024-03-10,191.4,282.32,271.6,193.51,4851205,199,199,Down,196.64
69,2024-03-10,191.4,202.85,144.42,114.54,2393403,199,19,Down,196.64
70,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,76,down,196.64
71,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
72,2024-03-10,191.4,202.85,193.51,193.51,4884470,199,80,Up,196.64
73,2024-03-10,191.4,202.85,193.51,193.51,4851205,132,53,Down,196.64
74,2024-03-10,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
75,2024-03-10,191.4,202.85,193.51,193.51,4851205,180,765,Up,196.64
76,2024-01-11,191.4,202.85,193.51,155.16,4851205,199,199,Up,102.91
77,2024-04-19,191.4,202.85,193.51,193.51,4851205,199,199,Up,196.64
78,2024-04-19,191.4,202.85,193.51,178.03,4851205,199,199,Up,196.64
79,2024-03-04,191.4,202.85,193.51,193.51,4135863,225,974,Up,196.64
80,2024-03-04,109.29,202.85,193.51,193.51,4851205,199,1,UP,196.64
81,2024-03-04,191.4,202.85,193.51,193.51,3535667,199,88,Up,196.64
82,2024-03-04,191.4,202.85,193.51,193.51,4851205,199,81,UP,196.64
83,2024-03-04,191.4,202.85,193.51,193.51,4851205,199,199,Down,186.62
84,2024-03-04,116.06,202.85,193.51,193.51,3736515,199,199,Down,196.64
85,2024-03-04,191.4,202.85,193.51,193.51,4851205,199,61,Down,245.06
86,2024-03-04,191.4,202.85,250.7,193.51,4851205,199,199,Down,196.64
87,2024-03-04,191.4,202.85,193.51,193.51,4851205,199,199,UP,182.68
88,2024-03-04,191.4,202.85,193.51,201.09,5352732,110,199,UP,196.64
89,2024-03-04,191.4,202.85,193.51,193.51,4851205,199,10,UP,196.64
90,2024-03-04,191.4,202.85,193.51,193.51,4851205,199,31,down,196.64
91,2024-01-31,191.4,202.85,193.51,193.51,4851205,199,199,Down,196.64
92,2024-01-31,191.4,247.53,193.51,267.83,4851205,199,87,Down,196.64
93,2024-01-31,191.4,202.85,193.51,105.21,4851205,199,199,down,196.64
94,2024-03-26,191.4,202.85,193.51,193.51,6221314,199,14,down,218.6
95,2024-02-22,191.4,202.85,193.51,193.51,4851205,199,11,down,270.24
96,2024-02-22,191.4,202.85,178.39,193.51,4851205,199,199,Up,245.6
97,2024-02-22,191.4,213.82,193.51,193.51,4851205,199,449,Down,196.64
98,2024-02-22,191.4,202.85,229.01,193.51,4851205,199,199,Down,196.64
