date,open,high,low,close,volume,ma_10,rsi,next_day_movement,future_price
07-03-2024,209.23abc,179.84abc,NaN,247.7.2,,?,41.94.x,Up,NaN
09-03-2024,265.9.9,ERROR,144.x,286.35abc,3246441,none,94.68.x,UP,285.7??
2024-03-12,233.67,202.x,?,272.3.0,2801217,none,66.89,Down,outlier
02-03-2024,?,152.97abc,151.1.5,176.58abc,,264.6.9,low,down,168.56
23/03/24,?,145.9.1,ERROR,?,5524988,ERROR,36.51.x,down,NaN
21-04-2024,185.13,(237.53),211.49abc,?,,?,85.89,Up,outlier
2024**04**05,263.x,none,242.84,(118.43),Null,283.4.0,772,Up,289.56
2024/04/08,none,226.9.1,NaN,212.4.5,{7558639},108.x,none,Down,102.51
02/03/24,ERROR,NaN,(114.44),118.x,,none,334,down,NaN
2024-02-25,242.21,NaN,124.65abc,(185.76),7416863units,143.5.4,?,Up,NaN
18-01-2024,214.83,163.31,NaN,none,6998960units,219.3,low,↑,NaN
21/04/24,144.x,ERROR,?,none,,ERROR,21.77.x,↓,253.11??
2024/02/15,?,ERROR,ERROR,107.31,"1051062,abc",?,749,???,NaN
2024/02/11,170.x,287.57,211.72,none,,ERROR,112,↓,NaN
2024-01-16,(134.6),none,180.2.5,169.68,8392344units,208.0.0,62.99.x,↓,NaN
06-01-2024,ERROR,(201.92),300.5.3,159.86abc,Null,ERROR,23.47.x,???,293.12
2024-02-06,?,none,none,261.x,Null,NaN,831,down,outlier
2024-04-01,240.x,NaN,(129.51),(260.87),"5027799,abc",?,1430,↓,164.78
2024/03/01,?,ERROR,NaN,209.91abc,5619911,ERROR,404,???,283.99??
10-01-2024,(238.55),125.17abc,190.x,ERROR,"8816704,abc",(167.69),59.91,Down,outlier
14-03-2024,NaN,?,129.9.3,?,,(284.57),79,↑,161.78
2024/01/05,270.x,none,none,145.x,{3655597},?,63.39.x,Down,NaN
2024/03/11,?,214.68abc,292.6.3,153.26,,153.03abc,high,↑,outlier
2024-04-26,NaN,198.4.1,none,184.x,7006648units,124.38,6.6.x,UP,288.54??
2024/01/08,120.41abc,299.x,187.97abc,221.17abc,Null,286.8.3,7.94,down,213.14
11-01-2024,287.64abc,267.82abc,ERROR,123.5.0,,296.6.2,67.01.x,Down,270.43
2024-03-10,?,?,251.35,(132.94),Null,141.x,15.41,↑,outlier
2024-02-25,ERROR,281.x,105.x,ERROR,Null,128.x,90.2,↑,NaN
20/04/24,193.68abc,221.7.6,(184.27),ERROR,{7699709},?,28.08.x,UP,outlier
07-02-2024,214.x,255.x,130.0.4,271.87,{3998975},ERROR,?,???,NaN
29/03/24,(143.06),ERROR,225.15abc,241.74,"8031278,abc",NaN,853,UP,outlier
2024/02/12,101.76abc,252.3.0,none,196.46,{4656393},288.41abc,93.83,???,NaN
10/03/24,NaN,132.x,?,257.02abc,,192.03abc,46.46,???,195.56
2024/04/18,(192.38),NaN,none,104.1.8,3971463,?,30.06,down,100.81??
2024-04-29,125.8.9,120.7.3,210.64abc,199.x,6614896,286.63,?,???,outlier
26-03-2024,244.x,159.x,ERROR,197.x,"2084349,abc",NaN,?,UP,106.92??
13/02/24,none,202.x,NaN,(116.18),"8038559,abc",(158.03),?,Up,NaN
2024/03/10,NaN,none,ERROR,227.28,{5890845},282.31abc,798,Down,284.53??
01-02-2024,(148.5),none,138.x,286.x,6637765,NaN,64.26,???,131.07
18/04/24,ERROR,(240.35),222.0.4,NaN,3207025,?,low,???,121.57
2024-01-21,103.9.5,ERROR,NaN,156.x,,133.7.2,low,down,220.58
04-02-2024,283.x,(183.55),ERROR,ERROR,2866724units,226.35abc,215,down,NaN
13-03-2024,231.4.7,106.48,ERROR,133.37,"2575642,abc",(228.4),45.41.x,down,234.61??
10-04-2024,267.2.1,NaN,103.x,(194.56),,191.64abc,1170,↑,outlier
2024-04-29,(278.37),257.3.9,NaN,?,Null,?,1092,UP,205.34
2024/03/13,ERROR,none,237.8.4,(241.84),1963547,183.74,53.37.x,Up,NaN
08-04-2024,233.03abc,?,NaN,?,1575899units,300.3.1,?,???,255.27??
30-04-2024,208.7.7,(207.76),NaN,ERROR,5670521,NaN,60,???,outlier
03/02/24,?,none,(243.77),ERROR,"1919063,abc",none,21.0.x,↑,NaN
2024/01/30,108.28,none,?,171.8.8,Null,ERROR,55.25,???,outlier
23-02-2024,214.94abc,none,none,NaN,"4556798,abc",(233.57),1.55.x,↑,outlier
2024-01-27,ERROR,267.x,none,(145.18),5829593,105.6.6,13.05.x,↑,NaN
18-04-2024,161.38abc,ERROR,227.46,237.x,"4273401,abc",ERROR,1310,???,NaN
10-03-2024,181.x,220.79abc,138.1.3,283.7,6521008,NaN,18.84.x,Up,NaN
2024-01-08,ERROR,260.5.7,none,NaN,1416091,ERROR,70.2,???,290.72??
2024-03-13,NaN,128.x,112.x,251.2.2,2266888units,?,930,UP,outlier
2024-01-30,none,(151.83),none,ERROR,"5931556,abc",282.x,75.75.x,???,206.67
2024/03/17,(191.05),ERROR,NaN,295.51,"3725071,abc",187.x,80.93,Up,NaN
2024-02-19,259.79abc,?,197.x,none,8537471,ERROR,380,UP,NaN
